cost,Area,type,no.of bed,Bathrooms,Location
"1,300,000 AED","2,152 sqft",Townhouse,3,4,"Harmony, Tilal Al Ghaf, Dubai"
"700,000 AED",646 sqft,Apartment,1,1,"Park Heights 2, Dubai Hills Estate, Dubai"
"4,016,000 AED","2,924 sqft",Apartment,2,2,"Serenia Residences North, Serenia Residences The Palm, Palm Jumeirah, Dubai"
"2,200,000 AED","2,540 sqft",Villa,3,3,"Alma 1, Alma, Arabian Ranches, Dubai"
"279,000 AED","1,399 sqft",Apartment,2,3,"Terrace Apartments, Yasmin Village, Ras Al Khaimah"
"5,063,400 AED","16,878 sqft",Land,,,"Dragon Mart 1, Dragon Mart, International City, Dubai"
"4,700,000 AED","8,994 sqft",Villa,4,6,"Rasha, Arabian Ranches 2, Dubai"
"10,172,000 AED","7,351 sqft",Villa,6,7,"Golf Place, Dubai Hills Estate, Dubai"
"330,000 AED",400 sqft,Apartment,Studio,1,"Al Manara, Jumeirah Village Triangle, Dubai"
"410,000 AED",773 sqft,Apartment,1,2,"Al Thamam 07, Al Thamam, Remraam, Dubai"
"1,389,900 AED",900 sqft,Apartment,1,2,"BLVD Heights Tower 1, BLVD Heights, Downtown Dubai, Dubai"
"1,600,000 AED","1,100 sqft",Apartment,2,3,"Forte 1, Forte, Downtown Dubai, Dubai"
"1,828,888 AED","1,066 sqft",Apartment,2,3,"Burj Crown, Downtown Dubai, Dubai"
"4,300,000 AED","4,699 sqft",Villa,4,3,"Orange Lake, Fire, Jumeirah Golf Estates, Dubai"
"175,000 AED","175,000 sqft",Apartment,1,2,"Lilies Tower, Emirates City, Ajman"
"4,000,000 AED","4,429 sqft",Townhouse,5,6,"Faya at Bloom Gardens, Bloom Gardens, Al Salam Street, Abu Dhabi"
"3,520,000 AED","2,300 sqft",Apartment,3,3,"The Residences at District One, Mohammed Bin Rashid City, Dubai"
Ask for price,"3,020 sqft",Villa,3,5,"Al Maha Village, Al Zahya, Ajman"
"1,750,000 AED","1,889 sqft",Villa,2,3,"Palmera 4, Palmera, Arabian Ranches, Dubai"
"5,199,999 AED","5,457 sqft",Villa,5,4,"Yasmin, Arabian Ranches 2, Dubai"
"5,500,000 AED","5,625 sqft",Villa,5,6,"Sanctuary Falls, Earth, Jumeirah Golf Estates, Dubai"
"1,400,000 AED","1,310 sqft",Apartment,2,2,"Princess Tower, Dubai Marina, Dubai"
"3,800,000 AED","1,803 sqft",Apartment,3,4,"Downtown Views, Downtown Dubai, Dubai"
"1,450,000 AED","2,200 sqft",Villa,3,4,"Flamingo Villas, Mina Al Arab, Ras Al Khaimah"
"3,600,000 AED","1,938 sqft",Apartment,3,4,"Burj Vista 1, Burj Vista, Downtown Dubai, Dubai"
"1,300,000 AED","2,230 sqft",Villa,2,3,"Springs 10, The Springs, Dubai"
"9,500,000 AED","6,717 sqft",Villa,4,5,"Garden Homes Frond K, Garden Homes, Palm Jumeirah, Dubai"
"1,497,000 AED","2,080 sqft",Townhouse,3,4,"MAG Eye, District 7, Mohammed Bin Rashid City, Dubai"
"6,500,000 AED","5,368 sqft",Villa,5,7,"Rasha, Arabian Ranches 2, Dubai"
"1,650,000 AED","3,160 sqft",Townhouse,4,4,"Fortunato, Jumeirah Village Circle, Dubai"
"2,500,000 AED","1,695 sqft",Apartment,2,3,"Murjan Tower, Emaar 6 Towers, Dubai Marina, Dubai"
"2,250,000 AED","4,584 sqft",Villa,3,3,"Springs 10, The Springs, Dubai"
"3,580,000 AED","2,008 sqft",Apartment,3,3,"Port de La Mer, La Mer, Jumeirah, Dubai"
"2,000,000 AED","1,292 sqft",Apartment,2,3,"Burj Vista 2, Burj Vista, Downtown Dubai, Dubai"
"1,100,000 AED","2,200 sqft",Apartment,3,3,"Marina Apartments, Al Hamra Marina Residences, Al Hamra Village, Ras Al Khaimah"
"6,250,000 AED","5,172 sqft",Villa,6,6,"Mirador, Arabian Ranches, Dubai"
"1,375,700 AED","1,109 sqft",Apartment,2,3,"Reflection, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"1,375,700 AED","1,109 sqft",Apartment,2,3,"Reflection, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"2,700,000 AED","1,155 sqft",Apartment,1,2,"Apartment Building 6, Bluewaters Residences, Bluewaters, Dubai"
"1,100,000 AED","2,200 sqft",Apartment,3,3,"Marina Apartments, Al Hamra Marina Residences, Al Hamra Village, Ras Al Khaimah"
"1,575,000 AED","2,868 sqft",Townhouse,3,3,"Casa Dora, Serena, Dubai"
Ask for price,"11,200 sqft",Land,,,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"2,225,000 AED","1,483 sqft",Apartment,2,3,"Standpoint Tower 2, Standpoint Towers, Downtown Dubai, Dubai"
"6,450,000 AED","6,732 sqft",Penthouse,5,6,"La Riviera, Dubai Marina, Dubai"
"2,341,000 AED","1,352 sqft",Apartment,2,2,"Lamtara, Madinat Jumeirah Living, Umm Suqeim, Dubai"
"1,500,000 AED","1,071 sqft",Apartment,2,2,"Creekside 18 A, Creekside 18, Dubai Creek Harbour (The Lagoons), Dubai"
Ask for price,"9,000 sqft",Villa,3,6,"Al Azra, Al Riqqa, Sharjah"
"3,050,000 AED","3,809 sqft",Villa,4,4,"Mirador, Arabian Ranches, Dubai"
"820,000 AED","3,020 sqft",Villa,3,5,"Al Yasmeen 1, Al Yasmeen, Ajman"
"1,150,000 AED",714 sqft,Apartment,1,1,"Yasmina Residence, Al Reem Island, Abu Dhabi"
"1,780,888 AED",998 sqft,Apartment,2,2,"Burj Crown, Downtown Dubai, Dubai"
"555,888 AED",480 sqft,Apartment,1,1,"UNA Apartments, Town Square, Dubai"
"1,459,888 AED",760 sqft,Apartment,1,1,"Beach Isle, EMAAR Beachfront, Dubai Harbour, Dubai"
"1,345,000 AED","2,099 sqft",Villa,3,4,"Just Cavalli Villas, Aquilegia, Akoya, Dubai"
"2,200,000 AED","1,624 sqft",Apartment,2,3,"Central Park at City Walk, City Walk, Dubai"
"1,400,000 AED","1,020 sqft",Apartment,1,2,"The Address Dubai Mall, Downtown Dubai, Dubai"
"1,625,000 AED","1,450 sqft",Apartment,2,3,"Al Majara 1, Al Majara, Dubai Marina, Dubai"
"9,999,999 AED","10,600 sqft",Land,,,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"4,989,500 AED","2,936 sqft",Apartment,4,5,"Building 9, City Walk, Dubai"
"2,130,888 AED","1,061 sqft",Apartment,2,2,"Burj Crown, Downtown Dubai, Dubai"
"1,400,000 AED","3,348 sqft",Townhouse,4,6,"Park Villas, Jumeirah Village Circle, Dubai"
"6,500,000 AED","5,925 sqft",Apartment,3,,"Seventh Heaven, Al Barari, Dubai"
"3,650,000 AED","2,140 sqft",Apartment,3,4,"Al Dabas, Shoreline Apartments, Palm Jumeirah, Dubai"
"2,006,888 AED","1,264 sqft",Apartment,2,2,"Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai"
"12,000,000 AED","2,596 sqft",Apartment,3,3,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"1,699,000 AED","1,338 sqft",Apartment,1,2,"Oceana Aegean, Oceana, Palm Jumeirah, Dubai"
"1,890,000 AED","1,023 sqft",Apartment,2,3,"Port de La Mer, La Mer, Jumeirah, Dubai"
"15,500,000 AED","7,463 sqft",Villa,4,5,"The Nest, Al Barari, Dubai"
"5,100,000 AED","1,900 sqft",Apartment,3,4,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"3,388,888 AED","1,664 sqft",Apartment,3,3,"Seven Palm, Palm Jumeirah, Dubai"
"1,050,000 AED","1,375 sqft",Apartment,2,2,"Al Andalus, Jumeirah Golf Estates, Dubai"
"3,250,000 AED","3,166 sqft",Villa,3,3,"Saheel 1, Saheel, Arabian Ranches, Dubai"
"2,650,000 AED","3,143 sqft",Villa,3,2,"Casa, Arabian Ranches 2, Dubai"
"1,250,000 AED","1,329 sqft",Apartment,2,2,"La Riviera, Dubai Marina, Dubai"
"1,500,000 AED",640 sqft,Apartment,1,2,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"1,250,000 AED",986 sqft,Apartment,1,2,"Dubai Creek Residence Tower 1 South, Dubai Creek Harbour (The Lagoons), Dubai"
"3,410,000 AED","1,500 sqft",Apartment,2,3,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"1,780,000 AED","1,028 sqft",Apartment,1,2,"Al Bateen Residence, The Walk, Jumeirah Beach Residence, Dubai"
"998,700 AED",765 sqft,Apartment,1,2,"Prime Views by Prescott, Meydan Avenue, Meydan, Dubai"
"12,000,000 AED","13,273 sqft",Villa,6,7,"Fairway Vistas, Dubai Hills, Dubai Hills Estate, Dubai"
"3,374,888 AED","1,595 sqft",Apartment,3,4,"Address Harbour Point, Dubai Creek Harbour (The Lagoons), Dubai"
"1,050,000 AED",860 sqft,Apartment,1,2,"Standpoint Tower 1, Standpoint Towers, Downtown Dubai, Dubai"
"810,888 AED",986 sqft,Apartment,2,2,"Sapphire Beach Residence, Maryam Island, Sharjah"
"1,737,000 AED","1,164 sqft",Apartment,2,2,"La Voile, La Mer, Jumeirah, Dubai"
"2,150,000 AED","1,551 sqft",Apartment,2,3,"Al Hatimi, Shoreline Apartments, Palm Jumeirah, Dubai"
"770,000 AED","1,107 sqft",Apartment,1,1,"Dorra Bay, Dubai Marina, Dubai"
"1,400,000 AED","1,896 sqft",Apartment,3,3,"Sadaf 2, Sadaf, Jumeirah Beach Residence, Dubai"
"1,200,000 AED",806 sqft,Apartment,1,2,"Yansoon 2, Yansoon, Old Town, Dubai"
"1,459,888 AED",758 sqft,Apartment,1,1,"Beach Isle, EMAAR Beachfront, Dubai Harbour, Dubai"
"65,000,000 AED","14,668 sqft",Villa,5,6,"Signature Villas Frond F, Signature Villas, Palm Jumeirah, Dubai"
"1,150,000 AED","1,350 sqft",Apartment,2,3,"Princess Tower, Dubai Marina, Dubai"
"1,500,000 AED",809 sqft,Apartment,1,1,"The Atria, Business Bay, Dubai"
"2,300,000 AED","1,853 sqft",Apartment,3,4,"Marina Tower, Dubai Marina, Dubai"
"2,600,000 AED","3,800 sqft",Villa,4,4,"Cedre Villas, Dubai Silicon Oasis, Dubai"
"1,650,000 AED","1,650 sqft",Apartment,2,3,"Al Fattan Marine Tower, Al Fattan Marine Towers, Jumeirah Beach Residence, Dubai"
"749,888 AED",520 sqft,Apartment,Studio,1,"Damac Maison The Distinction, Downtown Dubai, Dubai"
"850,000 AED","1,454 sqft",Apartment,2,3,"Olympic Park 1, Olympic Park Towers, Dubai Sports City, Dubai"
"499,000 AED","2,280 sqft",Apartment,2,2,"Marina Apartments C, Al Hamra Marina Residences, Al Hamra Village, Ras Al Khaimah"
"430,000 AED",425 sqft,Apartment,Studio,1,"Aria, Jumeirah Village Circle, Dubai"
"2,399,999 AED","1,567 sqft",Apartment,2,3,"Shams 4, Shams, Jumeirah Beach Residence, Dubai"
"501,740 AED",567 sqft,Apartment,1,1,"Al Khaleej Village, Al Ghadeer, Abu Dhabi"
"2,500,000 AED","2,183 sqft",Villa,3,2,"Zulal 1, Zulal, The Lakes, Dubai"
"5,450,000 AED","5,825 sqft",Villa,5,6,"Sanctuary Falls, Earth, Jumeirah Golf Estates, Dubai"
"1,375,000 AED",746 sqft,Apartment,1,1,"Marina Vista, EMAAR Beachfront, Dubai Harbour, Dubai"
"2,800,000 AED","2,739 sqft",Apartment,2,3,"Seventh Heaven, Al Barari, Dubai"
"420,000 AED",915 sqft,Apartment,1,2,"Al Hamra Palace Beach Resort, Al Hamra Village, Ras Al Khaimah"
"2,150,000 AED","2,558 sqft",Townhouse,4,4,"Oliva, Victory Heights, Dubai Sports City, Dubai"
"3,400,000 AED","3,035 sqft",Villa,3,4,"Club Villas at Dubai Hills, Dubai Hills Estate, Dubai"
"3,000,000 AED","1,100 sqft",Apartment,2,2,"The Address Residences Dubai Opera, Downtown Dubai, Dubai"
"1,309,000 AED",732 sqft,Apartment,1,1,"La Voile, La Mer, Jumeirah, Dubai"
"750,000 AED",712 sqft,Apartment,Studio,1,"Murjan 2, Murjan, Jumeirah Beach Residence, Dubai"
"555,888 AED",482 sqft,Apartment,1,1,"UNA Apartments, Town Square, Dubai"
"3,000,000 AED","1,100 sqft",Apartment,2,2,"The Address Residences Dubai Opera, Downtown Dubai, Dubai"
"11,000,000 AED","8,286 sqft",Villa,6,7,"Parkway Vistas, Dubai Hills Estate, Dubai"
"4,600,000 AED","2,183 sqft",Apartment,3,3,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai"
"1,270,888 AED",637 sqft,Apartment,1,2,"Burj Crown, Downtown Dubai, Dubai"
"820,000 AED",676 sqft,Apartment,1,1,"Waters Edge, Yas Island, Abu Dhabi"
"900,000 AED",843 sqft,Apartment,1,2,"J8, Al Sufouh 1, Al Sufouh, Dubai"
"28,500,000 AED","7,500 sqft",Villa,5,6,"Signature Villas Frond F, Signature Villas, Palm Jumeirah, Dubai"
"220,000 AED","1,115 sqft",Apartment,1,2,"Al Rashidiya Towers, Ajman Downtown, Ajman"
"370,000 AED","2,336 sqft",Apartment,3,4,"Al Khor Tower B1, Al Khor Towers, Ajman Downtown, Ajman"
"36,000,000 AED","24,100 sqft",Land,,,"Bulgari Resort & Residences, Jumeirah Bay Island, Jumeirah, Dubai"
"3,060,612 AED","10,979 sqft",Land,,,"Saadiyat Reserve, Saadiyat Island, Abu Dhabi"
"5,450,000 AED","4,858 sqft",Penthouse,4,4,"The Fairmont Palm Residence North, The Fairmont Palm Residences, Palm Jumeirah, Dubai"
"275,000 AED",572 sqft,Apartment,Studio,1,"Fayrouz, Bab Al Bahar, Al Marjan Island, Ras Al Khaimah"
"2,950,000 AED","1,348 sqft",Apartment,2,3,"Burj Vista 2, Burj Vista, Downtown Dubai, Dubai"
"2,300,000 AED",775 sqft,Apartment,1,2,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai"
"1,125,000 AED",848 sqft,Apartment,1,1,"The Address Dubai Marina, Dubai Marina, Dubai"
"385,589 AED",598 sqft,Apartment,1,1,"Royal Breeze 4, Royal Breeze, Al Hamra Village, Ras Al Khaimah"
"1,795,000 AED","1,002 sqft",Apartment,1,2,"Aurora Tower, Marina Promenade, Dubai Marina, Dubai"
"2,100,000 AED","1,579 sqft",Apartment,2,3,"Trident Bayside, Dubai Marina, Dubai"
"400,000 AED",608 sqft,Apartment,Studio,1,"The Matrix, Dubai Sports City, Dubai"
"1,325,000 AED","1,544 sqft",Townhouse,3,4,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"1,630,828 AED","1,198 sqft",Apartment,2,3,"Wilton Terraces 1, Mohammed Bin Rashid City, Dubai"
"290,000 AED",484 sqft,Apartment,Studio,1,"Maple 2, Emirates Gardens 2, Jumeirah Village Circle, Dubai"
"7,361,000 AED","3,051 sqft",Penthouse,4,5,"La Vie, Jumeirah Beach Residence, Dubai"
"875,000 AED",841 sqft,Apartment,1,1,"Al Majara 1, Al Majara, Dubai Marina, Dubai"
"1,630,828 AED","1,198 sqft",Apartment,2,3,"Wilton Terraces 1, Mohammed Bin Rashid City, Dubai"
"290,000 AED",484 sqft,Apartment,Studio,1,"Maple 2, Emirates Gardens 2, Jumeirah Village Circle, Dubai"
"1,927,888 AED",750 sqft,Apartment,1,1,"Beach Vista, EMAAR Beachfront, Dubai Harbour, Dubai"
"875,000 AED",841 sqft,Apartment,1,1,"Al Majara 1, Al Majara, Dubai Marina, Dubai"
"18,000,000 AED","7,000 sqft",Villa,6,7,"Signature Villas Frond L, Signature Villas, Palm Jumeirah, Dubai"
"5,800,000 AED","22,500 sqft",Villa,6,7,"Shakhbout City, Abu Dhabi"
"5,030,000 AED","1,898 sqft",Apartment,3,4,"The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai"
"1,550,000 AED","5,000 sqft",Duplex,4,5,"Al Hamra Village Villas, Al Hamra Village, Ras Al Khaimah"
"1,310,000 AED","1,294 sqft",Apartment,2,3,"Bahar 1, Bahar, Jumeirah Beach Residence, Dubai"
"2,900,000 AED","3,527 sqft",Villa,3,4,"Legacy, Jumeirah Park, Dubai"
"13,500,000 AED","8,286 sqft",Villa,6,7,"Fairway Vistas, Dubai Hills, Dubai Hills Estate, Dubai"
"1,821,777 AED","1,528 sqft",Apartment,3,4,"Pixel, Makers District, Al Reem Island, Abu Dhabi"
"1,269,000 AED",872 sqft,Apartment,1,2,"Port de La Mer, La Mer, Jumeirah, Dubai"
"650,000 AED","1,177 sqft",Apartment,1,2,"Gardenia 1, Emirates Gardens 1, Jumeirah Village Circle, Dubai"
"2,900,000 AED","3,312 sqft",Townhouse,3,4,"The Cedars, Yas Acres, Yas Island, Abu Dhabi"
"4,850,000 AED","3,707 sqft",Townhouse,3,4,"Sur La Mer, La Mer, Jumeirah, Dubai"
"3,633,888 AED","1,600 sqft",Apartment,3,3,"Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai"
"1,680,000 AED","2,400 sqft",Apartment,3,3,"MAG 214, Lake Elucio, Jumeirah Lake Towers, Dubai"
"1,100,000 AED","1,098 sqft",Apartment,1,1,"Murjan 2, Murjan, Jumeirah Beach Residence, Dubai"
"170,000 AED",980 sqft,Apartment,1,2,"Lake View Tower 4, Lake View Towers, Emirates City, Ajman"
"2,800,000 AED","3,063 sqft",Villa,3,4,"Legacy, Jumeirah Park, Dubai"
"4,250,000 AED","4,018 sqft",Villa,4,3,"Meadows 1, Meadows, Dubai"
"1,900,000 AED","2,000 sqft",Townhouse,3,4,"Arabella Townhouses 1, Arabella Townhouses, Mudon, Dubai"
"210,000 AED",495 sqft,Apartment,Studio,1,"Royal breeze 2, Royal Breeze, Al Hamra Village, Ras Al Khaimah"
"600,000 AED",770 sqft,Apartment,1,2,"Shamal Residences, Jumeirah Village Circle, Dubai"
"740,000 AED",600 sqft,Apartment,1,1,"Se7en City JLT, Jumeirah Lake Towers, Dubai"
"3,400,000 AED","3,523 sqft",Villa,4,5,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
Ask for price,"5,000 sqft",Villa,7,5,"Al Mwaihat 1, Al Mwaihat, Ajman"
"2,199,999 AED","2,906 sqft",Townhouse,4,5,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai"
"1,400,000 AED","2,236 sqft",Townhouse,3,4,"Mira Oasis 2, Mira Oasis, Reem, Dubai"
"3,200,000 AED","1,514 sqft",Apartment,2,2,"The Address Residence Fountain Views 2, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"1,400,000 AED","1,788 sqft",Apartment,2,4,"Al Sheraa Tower, Lake Almas East, Jumeirah Lake Towers, Dubai"
"1,821,970 AED","1,267 sqft",Apartment,2,3,"Al Raha Lofts, Al Raha Beach, Abu Dhabi"
"525,000 AED",697 sqft,Apartment,1,1,"Hayat Boulevard, Town Square, Dubai"
"2,100,000 AED","1,593 sqft",Apartment,2,3,"BLVD Heights Tower 1, BLVD Heights, Downtown Dubai, Dubai"
"600,000 AED",820 sqft,Apartment,1,2,"Lucky 1 Residence, Jumeirah Village Circle, Dubai"
"520,000 AED",935 sqft,Apartment,1,2,"Northwest Garden Apartments, Green Community West, Green Community, Dubai"
"3,500,000 AED","3,130 sqft",Townhouse,4,4,"Grand Views, Meydan Gated Community, Meydan, Dubai"
"2,100,000 AED","1,929 sqft",Apartment,3,3,"Rimal 4, Rimal, Jumeirah Beach Residence, Dubai"
"2,450,000 AED","2,643 sqft",Villa,3,2,"Forat, The Lakes, Dubai"
"16,000,000 AED","5,332 sqft",Apartment,4,5,"FIVE Palm Jumeirah, Palm Jumeirah, Dubai"
"9,598,888 AED","6,889 sqft",Villa,5,6,"Golf Place, Dubai Hills Estate, Dubai"
"1,900,000 AED","1,665 sqft",Apartment,2,3,"Trident Grand Residence, Dubai Marina, Dubai"
"2,900,000 AED","3,102 sqft",Villa,3,3,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
"725,000 AED",692 sqft,Apartment,Studio,1,"Bay Square Building 10, Bay Square, Business Bay, Dubai"
"1,400,000 AED","1,000 sqft",Apartment,1,2,"Central Park at City Walk, City Walk, Dubai"
"1,358,079 AED","2,577 sqft",Apartment,3,3,"Al Rayyan Complex, Al Nahda, Sharjah"
"10,189,000 AED","10,725 sqft",Land,,,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"12,950,000 AED","5,810 sqft",Penthouse,4,5,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai"
"739,995 AED","1,042 sqft",Apartment,2,3,"Pacific Bora Bora, Pacific, Al Marjan Island, Ras Al Khaimah"
"1,800,000 AED",775 sqft,Apartment,1,2,"Marina Gate 2, Marina Gate, Dubai Marina, Dubai"
"900,000 AED","1,208 sqft",Townhouse,3,4,"Aknan Villas, Vardon, Akoya, Dubai"
"1,450,000 AED","2,477 sqft",Villa,3,4,"Flamingo Villas, Mina Al Arab, Ras Al Khaimah"
"40,000,000 AED","31,977 sqft",Villa,7+,7+,"Dubai Hills View, Dubai Hills Estate, Dubai"
"9,900,000 AED","5,000 sqft",Villa,4,5,"Garden Homes Frond B, Garden Homes, Palm Jumeirah, Dubai"
"4,299,000 AED","3,884 sqft",Villa,4,4,"Alvorada 2, Alvorada, Arabian Ranches, Dubai"
"6,700,000 AED","13,500 sqft",Land,,,"Pearl Jumeirah Villas, Pearl Jumeirah, Jumeirah, Dubai"
"5,000,000 AED","5,285 sqft",Villa,4,4,"Entertainment Foyer, Oasis Clusters, Jumeirah Islands, Dubai"
"1,299,999 AED",909 sqft,Apartment,1,2,"Fairfield Tower, Park Island, Dubai Marina, Dubai"
"1,174,999 AED","1,548 sqft",Apartment,3,4,"Icon Tower 2, Lake Almas West, Jumeirah Lake Towers, Dubai"
"325,000 AED",628 sqft,Apartment,1,2,"Lagoon B10, The Lagoons, Mina Al Arab, Ras Al Khaimah"
"9,597,888 AED","6,889 sqft",Villa,5,5,"Golf Place, Dubai Hills Estate, Dubai"
"11,700,000 AED","13,430 sqft",Villa,6,7,"Golf Place, Dubai Hills Estate, Dubai"
"2,399,999 AED","2,439 sqft",Apartment,3,4,"Oceana Aegean, Oceana, Palm Jumeirah, Dubai"
"1,450,000 AED","1,936 sqft",Townhouse,3,4,"Casa Dora, Serena, Dubai"
"400,000 AED","1,030 sqft",Apartment,1,2,"Lagoon B18, The Lagoons, Mina Al Arab, Ras Al Khaimah"
"1,600,000 AED","1,443 sqft",Apartment,2,2,"Damac Heights, Dubai Marina, Dubai"
Ask for price,"6,400 sqft",Whole Building,,,"Al Rashidiya 2, Al Rashidiya, Ajman"
"1,125,000 AED","1,700 sqft",Villa,1,1,"Mediterranean Townhouse, Jumeirah Village Triangle, Dubai"
"2,000,000 AED","2,455 sqft",Villa,3,2,"Springs 12, The Springs, Dubai"
"484,800 AED","1,000 sqft",Townhouse,1,2,"Rukan, Dubai"
"2,500,000 AED","1,223 sqft",Apartment,1,2,"FIVE Palm Jumeirah, Palm Jumeirah, Dubai"
"2,950,000 AED","3,384 sqft",Townhouse,3,4,"The Cedars, Yas Acres, Yas Island, Abu Dhabi"
"5,700,000 AED","4,112 sqft",Penthouse,3,4,"Sky Gardens, DIFC, Dubai"
"1,350,000 AED","1,600 sqft",Apartment,2,3,"Trident Bayside, Dubai Marina, Dubai"
"1,200,000 AED",960 sqft,Apartment,2,2,"Park Heights 2, Dubai Hills Estate, Dubai"
"3,500,000 AED","1,373 sqft",Apartment,2,3,"The Address Residence Fountain Views 2, The Address Residence Fountain Views, Downtown Dubai, Dubai"
"4,300,000 AED","2,036 sqft",Apartment,3,4,"The Address Sky View Tower 1, The Address Sky View Towers, Downtown Dubai, Dubai"
"1,100,000 AED","1,145 sqft",Apartment,1,2,"Al Hamri, Shoreline Apartments, Palm Jumeirah, Dubai"
"1,652,000 AED","4,068 sqft",Land,,,"Nad Al Sheba Gardens, Nad Al Sheba 1, Nadd Al Sheba, Dubai"
"1,199,000 AED","1,208 sqft",Apartment,2,2,"Botanica Tower, Dubai Marina, Dubai"
"600,000 AED",967 sqft,Apartment,1,2,"Lake Shore Tower, Lake Allure, Jumeirah Lake Towers, Dubai"
"1,590,000 AED","1,627 sqft",Apartment,3,3,"The Gate Tower 2, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
"1,300,000 AED","2,215 sqft",Villa,3,4,"Flamingo Villas, Mina Al Arab, Ras Al Khaimah"
"1,235,000 AED","1,251 sqft",Apartment,2,3,"Al Raha Lofts, Al Raha Beach, Abu Dhabi"
"2,565,000 AED","1,401 sqft",Apartment,2,3,"La Vie, Jumeirah Beach Residence, Dubai"
"810,000 AED",860 sqft,Apartment,1,2,"Beach Towers, Shams Abu Dhabi, Al Reem Island, Abu Dhabi"
Ask for price,"11,000 sqft",Whole Building,,,"Al Mwaihat 1, Al Mwaihat, Ajman"
"4,850,000 AED","4,283 sqft",Villa,5,5,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
"875,000 AED","1,690 sqft",Apartment,2,3,"Lake Apartments A, Lake Apartments, Green Community, Dubai"
"2,200,000 AED","2,219 sqft",Villa,3,3,"Palmera 2, Palmera, Arabian Ranches, Dubai"
"880,845 AED",670 sqft,Apartment,1,1,"Waters Edge, Yas Island, Abu Dhabi"
"3,785,000 AED","2,164 sqft",Apartment,3,5,"Lamtara, Madinat Jumeirah Living, Umm Suqeim, Dubai"
"2,100,000 AED","1,436 sqft",Apartment,2,3,"B2, The Hills B, The Hills, Dubai"
"2,400,000 AED","2,331 sqft",Townhouse,2,3,"The Cedars, Yas Acres, Yas Island, Abu Dhabi"
"900,000 AED",725 sqft,Apartment,1,2,"Blakely Tower, Park Island, Dubai Marina, Dubai"
"1,236,200 AED","1,227 sqft",Apartment,2,2,"Waters Edge, Yas Island, Abu Dhabi"
"4,800,000 AED","9,400 sqft",Villa,6,7,"Mirador, Arabian Ranches, Dubai"
"1,729,000 AED","4,445 sqft",Land,,,"Nad Al Sheba Gardens, Nad Al Sheba 1, Nadd Al Sheba, Dubai"
"3,900,000 AED","3,523 sqft",Villa,4,4,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
"2,650,000 AED","1,902 sqft",Apartment,3,4,"Acacia, Park Heights, Dubai Hills Estate, Dubai"
"1,150,000 AED","2,600 sqft",Townhouse,3,3,"The Townhouses at Al Hamra Village, Al Hamra Village, Ras Al Khaimah"
"1,025,000 AED",879 sqft,Apartment,1,2,"Vida Residence 1, Vida Residence, The Hills, Dubai"
"2,000,000 AED","1,598 sqft",Apartment,2,3,"Index Tower, DIFC, Dubai"
"4,000,000 AED","4,655 sqft",Villa,4,4,"Sidra Villas I, Sidra Villas, Dubai Hills Estate, Dubai"
